Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,0,94,95,95,95,95,95,94,94,94,91.6,91.6,91.8,91,91.2,92.8,94.2,94.7,94.5,94.9,95.3,95,94.3
Austria,33,44,81,83,83,86,83,85,83,83.3,86,89,92,95,98,93,87,90,85,85,85,85,0
Belgium,60,60,60,64,64,77,94,94,98,97,97,97,98,98,98,98,97,97,97,97,97,97,0
Canada,0,0,0,14,14,14,14,14,28,42,56,70,70,55,55,69,70,71,71,84,84,84,0
Chile,0,0,0,0,0,0,94,96,97,92.3,92.4,93.7,89.9,89.6,94.7,96,94.8,93,95,96,92.7,95.1,95.6
Colombia,78,80,78,92,89,93,93,93.9,92.2,92.2,88,85.3,91.8,90.8,90.3,91.4,91.3,91.6,92,92,87.9,87.9,87
Costa Rica,89.2,80.1,94,87.1,90,90.8,89.2,90.1,87.6,86.5,91.5,83.8,91,94,91.8,92.8,97.5,97.4,99,97,95,87.4,94.3
Czechia,0,0,86,92,98.4,98.7,98,100,99,99.3,99.3,99.1,99.3,99.2,99.2,97.2,95.8,94.4,96,96.7,96,93.7,93.7
Estonia,0,0,0,0,90.4,95,95,95,94,95.3,94,93.7,94,93.4,92.9,91.3,92.6,91.5,93.2,90.9,90.4,83.6,85
France,26,28,29,28,35,35,39,42,47,51,64,74,78,82,83,88,88.1,90,91.3,91,91,91,95.2
Germany,84,86,87,90,80.9,83.6,86,87,90,90.4,90.3,86.8,86.2,86.9,88,88.3,87.6,87.3,86.9,87.2,87.4,87.6,0
Greece,89,90,91,92,92,93,94,95,95,95,95,95,98,98,96,96,96,96,96,96,96,96,0
Ireland,0,0,0,0,0,0,0,0,0,0,94,95,95.1,95,95.5,95.2,95,94.7,94.4,93.4,94.1,93.5,92.7
Israel,97,96,98,95,99,96,96,99,99,98,97,98,97,97,97,96,95,97,96.4,96,96.3,96.2,0
Italy,94,95,95,95,96,96,96,97,96,96,96,96,96.5,96,95,93.3,93,94.2,94.9,94.9,93.7,93.9,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,92.3,95.6,0
Korea,93,89.4,92,91,91.6,99,99,91,94,94,88.9,91.5,95.9,97.3,98,98.3,98.4,97.7,97.7,97.4,97.7,97.9,97.4
Latvia,84,92,92,98,98,100,94,91,93,92,91,89,90,94,92,94.4,97.6,98.1,96,100,99.9,94,94.8
Lithuania,98.5,94.8,94.3,94.6,94.3,95.1,95,96,96,95.7,94.5,94.6,93.2,93.4,94,93.8,94.6,93.8,92.7,92,91.4,90.1,90
Luxembourg,77,86,95,95,94,95,95,87,94,95,94,95,94,94,94,94,94,94,96,96,96,96,0
Mexico,97,97,97,98,98,98.2,98,98,97,95,92.8,97.7,99,79.1,84.3,82.5,93.1,58.2,55,56,91.8,79.8,83.4
Netherlands,0,0,0,0,0,15.2,17.1,17.9,18.6,19.3,19.4,19.5,20,51.4,94.5,93.8,93.1,92.2,92,92.3,93,92.7,88.2
New Zealand,89.8,89.8,89,89,88,87,87,88,90,93,93.5,94.6,93.5,93,92.7,92.3,92.5,93.6,92.6,91.7,92,89.8,89.3
Norway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96.6,96.3,96.1
Poland,99.3,99.6,97.6,97,97.6,98.2,98,98,98,98,97.8,98,97.3,96.4,96,96,95,92.9,90.9,91,90,90,0
Portugal,58.2,70,96.9,94,94,93.9,93,93,98,98,97,97,98,98,98,98,98,98,98,98,99,99,0
Slovak Republic,99,99.4,99.3,99,99.3,99.2,99,99,99,99.2,99.1,99,98.7,97.9,96.8,96,96.4,96.4,96.5,96.7,97,97,96.5
Slovenia,0,97,0,0,0,0,0,0,98,97,0,92,92,90,89,89,88,89,87,0,0,86,0
Spain,77,83,82,81,97,96,97,96,97,95.5,96.5,96.6,96.2,95.2,96.2,96.6,97.3,94.5,93.5,94.7,94.3,92.4,93.3
Sweden,0,0,0,0,0,0,0,0,0,0,0,29,30,35,42,53,67,76,92,97,97,98,94.3
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.2,71.9,68.5,72.1,73,0
Türkiye,66,72,72,68,77,85,82,96,92,94,93.7,96,97,97,95,97,98,96,98,98.6,98.5,95.5,0
United Kingdom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,93,92.6,92.3
United States,90,89,88,92,92,93,93,93,94,92,92,91,90,91,92,92,93,91,91,91,91,91,0
  Argentina,0,0,65.8,90,94.3,88.3,84.4,85,89.7,94.2,94,91,91.3,94,94.1,94,91.9,86,86,83,74.3,81.2,81.5
  Brazil,94,91,88.7,97,96,98,100,100,96,100,96,98,96,96,96,96.3,89.3,93,93,72,77.1,68.4,77.2
  Bulgaria,94,95,85.7,98,91.4,96,96,95,96,95.6,95,96,95.4,95.2,95,91.6,91.1,92,85.1,93.3,91.5,89.4,91.5
  China (People's Republic of),0,92.4,95.8,96.7,98.7,98.6,98,99,99,99.1,99,99.6,99,99.6,99,99.6,99.5,99.5,99.5,99.4,99.4,99.4,99.2
  Croatia,0,0,0,0,0,0,0,95,97,97,97,97.1,96,95.8,95.2,94.2,94.6,94.1,93.4,92.9,91.4,90.3,89.8
  India,0,0,0,0,77.9,68.3,72.5,69.4,29,37,38,44,73,70,79,87,88.2,89.3,99,90.6,85.2,85.3,93.4
  Indonesia,56.2,55.9,73,79.4,81,82,90,91,91,93,95,95,86,99,94.6,93.1,93.3,93.5,92.6,96.5,87,80.1,0
  Peru,43.7,92.2,0,60,50,89,94,96,98.8,92.5,92.5,91.3,95.3,88.2,88.3,90.3,88.6,79,97,88,72.2,81.5,82.3
  Romania,98,98,99,98,99,98,99,99,97,95,98,96,96,96,94,90,90,92,93.3,90,87,94.2,79.9
  Russia,0,46,82.2,93.6,96.1,97,98,98,98,98,97,97.3,97.3,97.2,96.6,97,96.9,97.2,96.9,97.1,96.7,96.9,96.9
  South Africa,78,80,77,93,71,96.2,99.6,99.6,93.1,100,88.8,93.9,86.1,88.3,97.5,92.8,84.4,83.7,86.1,85,83.8,85.6,0
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
