Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,74,78,76.9,76.9,79.1,0,77.5,0,0,74.6,0,0,0,0,0,0,0,0,0,56.2,63,63.4,66.1
Austria,0,0,0,0,0,0,36.1,0,0,0,0,0,0,0,20.3,0,0,0,0,18.3,0,0,0
Belgium,0,58,0,0,64,0,60.1,61.8,62.3,63.6,60.1,58.7,57.7,56.4,56.1,55.8,54.7,52.9,53.2,55.1,62.1,57.3,0
Canada,63,0,0,67.2,0,70.9,0,69,66.6,66.5,59.4,64.4,64.1,64.1,63.1,60.8,59.8,61.1,59,60.2,64.7,0,0
Chile,0,94.8,76.9,80.3,79.4,73.4,82,84.5,78.1,87.9,57.7,62.4,73.1,76.5,74.9,55,54,59,64.7,68.3,84.7,73.2,70.2
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,71,60.6,54.3
Czechia,0,0,16.5,0,0,0,0,0,19.4,0,17.4,17.7,18,19.6,18.8,19.3,20.2,20.3,21.5,22.9,23.9,25.4,0
Denmark,0,0,6.2,19.9,30.6,34,33.4,39.3,51,50,47,48,48,45,47,45,44,47,50,52,52,75,78
Estonia,0,0,0,0,0,0,0,0,1,1.4,1,0.9,0.9,1.1,1.4,1.6,2.8,4.8,10.2,15,12,21.1,0
Finland,0,25,43,45,46,52,46,48.4,51,46,40.3,38.5,36.4,41,40,43.1,47.4,47.7,49.6,47.3,53.7,62.7,59.5
France,0,65,65,67,65,63.9,63.5,63.4,63.9,64.8,63.9,56.2,55.2,53.1,51.9,48.5,50.8,50,49.7,51,52,59.9,56.8
Germany,0,55.8,0,48,0,63,60,56,0,61.1,56.1,0,0,58.6,37.2,38.1,36.5,35.3,34.8,38,38.8,47.3,43.3
Greece,0,0,0,0,0,0,0,0,0,41.6,0,0,0,0,48.9,0,0,0,51,58.9,73.5,65.3,0
Hungary,0,0,0,36.8,38.9,37.9,37.1,34,34.2,37.8,31.6,29.7,31.3,30.9,29,27.1,26,24,26.8,24.1,23.6,30.5,22.3
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,47,45,49.4,47.5,54.6,60.4,60
