Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,79.2,79.6,79.9,80.2,80.5,80.8,81,81.3,81.4,81.5,81.7,81.9,82,82.1,82.3,82.4,82.4,82.5,82.7,82.9,83.2,83.3,0
Austria,78.3,78.8,78.9,78.8,79.3,79.5,80.1,80.3,80.6,80.5,80.7,81.1,81.1,81.3,81.6,81.3,81.8,81.7,81.8,82,81.3,81.3,81.1
Belgium,77.9,78.1,78.2,78.3,79,79.1,79.5,79.9,79.8,80.2,80.3,80.7,80.5,80.7,81.4,81.1,81.5,81.6,81.7,82.1,80.8,81.9,81.8
Canada,79.3,79.5,79.6,79.8,80.1,80.2,80.7,80.7,80.8,81.2,81.4,81.6,81.8,81.8,81.9,81.9,82,81.9,81.9,82.3,81.7,81.6,0
Chile,76.4,76.6,76.9,77.1,77.4,77.6,77.8,78.1,78.3,78.5,78.7,79,79.2,79.4,79.6,79.8,80,80.2,80.4,80.6,80.8,81,81.2
Colombia,71,71.4,71.8,72.2,72.6,73,73.3,73.5,73.8,74,74.3,74.5,74.7,75,75.2,75.4,75.7,75.9,76.5,76.6,76.7,76.8,76.9
Costa Rica,77.8,78.1,78.3,78.5,78.6,78.8,79,79.1,79.3,79.4,79.1,79.1,79.4,79.6,79.7,79.9,80,80.2,80.3,80.5,80.6,80.8,80.9
Czechia,75.1,75.3,75.4,75.3,75.9,76.1,76.7,77,77.3,77.4,77.7,78,78.1,78.3,78.9,78.7,79.1,79.1,79.1,79.3,78.3,77.2,79.1
Denmark,76.9,77,77.1,77.4,77.8,78.3,78.4,78.4,78.8,79,79.3,79.9,80.2,80.4,80.7,80.8,80.9,81.1,81,81.5,81.6,81.5,81.3
Estonia,71.1,70.9,71.4,77.4,72.4,73,73.2,73.2,74.4,75.3,76,76.6,76.7,77.5,77.4,78,78,78.4,78.5,79,78.9,77.2,78.2
Finland,77.8,78.2,78.3,78.6,79,79.1,79.5,79.6,79.9,80.1,80.2,80.6,80.7,81.1,81.3,81.6,81.5,81.7,81.8,82.1,82,81.9,81.2
France,79.2,79.3,79.4,79.3,80.4,80.4,81,81.3,81.4,81.6,81.9,82.3,82.1,82.4,82.9,82.4,82.7,82.7,82.8,83,82.3,82.4,82.3
Germany,78.3,78.6,78.6,78.6,79.3,79.4,79.9,80.1,80.2,80.3,80.5,80.6,80.7,80.6,81.2,80.7,81,81.1,81,81.3,81.1,80.8,80.7
Greece,78.6,79.1,79.2,79.3,79.4,79.6,79.9,79.7,80.2,80.4,80.6,80.8,80.7,81.4,81.5,81.1,81.5,81.4,81.9,81.7,81.4,80.2,80.7
Hungary,71.9,72.5,72.6,72.6,73,73,73.5,73.6,74.2,74.4,74.7,75.1,75.3,75.8,76,75.7,76.2,76,76.2,76.5,75.7,74.3,76.2
Iceland,79.7,80.7,80.6,81,81.1,81.5,81.2,81.5,81.6,81.8,81.9,82.4,83,82.1,82.9,82.5,82.2,82.6,82.9,83.2,83.1,83.2,82.1
Ireland,76.6,77.2,77.7,78.2,78.6,79,79.3,79.7,80.2,80.2,80.8,80.9,80.9,81,81.4,81.5,81.7,82.2,82.2,82.8,82.6,82.4,0
Israel,78.8,79.3,79.6,79.8,80.3,80.3,80.7,80.7,81.1,81.5,81.7,81.8,81.8,82.1,82.2,82.2,82.5,82.7,82.9,82.9,82.7,82.6,82.9
Italy,79.9,80.3,80.4,80.1,80.9,80.9,81.4,81.6,81.7,81.8,82.2,82.4,82.4,82.9,83.2,82.7,83.4,83.1,83.4,83.6,82.3,82.7,83
Japan,81.2,81.5,81.8,81.8,82.1,82,82.4,82.6,82.7,83,82.9,82.7,83.2,83.4,83.7,83.9,84.1,84.2,84.3,84.4,84.6,84.5,0
Korea,76,76.5,76.8,77.3,77.8,78.2,78.8,79.2,79.6,80,80.2,80.6,80.9,81.4,81.8,82.1,82.4,82.7,82.7,83.3,83.5,83.6,0
Latvia,0,0,70.2,70.6,70.9,70.6,70.6,70.8,72.1,72.8,73.1,73.9,74.1,74.3,74.5,74.8,74.9,74.9,75.1,75.7,75.5,73.1,74.8
Lithuania,72.1,71.6,71.8,72,72,71.2,71,70.7,71.7,72.9,73.3,73.7,74.1,74.1,74.7,74.6,74.9,75.8,76,76.5,75.1,74.2,76
Luxembourg,78,78,78.1,77.9,79.2,79.6,79.4,79.5,80.7,80.8,80.8,81.1,81.5,81.9,82.3,82.4,82.7,82.1,82.3,82.7,82.2,82.7,83
Mexico,74.7,75,75.1,75.1,75.4,75.2,75.5,75.4,75.2,74.9,74.8,74.9,75,75,75,74.7,74.8,74.9,75,75.1,75.2,75.4,0
Netherlands,78.2,78.4,78.5,78.7,79.3,79.6,80,80.4,80.5,80.9,81,81.3,81.2,81.4,81.8,81.6,81.7,81.8,81.9,82.2,81.4,81.4,81.7
New Zealand,78.4,78.7,79,79.3,79.6,79.8,80.1,80.3,80.5,80.7,80.8,81,81.2,81.4,81.4,81.5,81.6,81.7,81.7,82.1,82.3,82.3,0
Norway,78.8,79,79,79.6,80.1,80.3,80.6,80.6,80.8,81,81.2,81.4,81.5,81.8,82.2,82.4,82.5,82.7,82.8,83,83.3,83.2,82.6
